Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,217.509995,223.350006,217.100006,222.669998,217.599380,3833100
2020-10-05,224.860001,226.500000,224.009995,226.070007,220.921982,2913800
2020-10-06,226.830002,228.660004,223.600006,224.089996,218.987045,2453600
2020-10-07,225.580002,228.410004,225.130005,226.479996,221.322632,1972500
2020-10-08,226.089996,227.080002,224.289993,225.800003,220.658112,3195800
2020-10-09,226.940002,227.220001,223.119995,224.830002,219.710205,3237700
2020-10-12,224.809998,226.509995,223.119995,226.110001,220.961060,2412400
2020-10-13,225.699997,228.580002,224.929993,227.350006,222.172836,2098900
2020-10-14,228.410004,229.479996,227.350006,227.619995,222.436661,1862600
2020-10-15,226.149994,230.000000,225.589996,229.639999,224.410675,2177300
2020-10-16,229.770004,231.910004,229.149994,229.369995,224.146820,2162800
2020-10-19,229.550003,231.020004,225.169998,226.000000,220.853561,2009500
2020-10-20,226.740005,230.000000,226.429993,227.449997,222.270554,1883200
2020-10-21,227.229996,229.490005,227.210007,228.190002,222.993683,1518200
2020-10-22,227.759995,229.399994,226.880005,229.149994,223.931824,1961300
2020-10-23,230.410004,230.410004,227.800003,228.710007,223.501862,2278100
2020-10-26,226.779999,227.250000,220.970001,224.270004,219.162964,2537800
2020-10-27,224.470001,225.229996,222.720001,222.970001,217.892578,1801900
2020-10-28,218.389999,220.589996,214.460007,214.690002,209.801102,3272900
2020-10-29,214.690002,217.649994,213.070007,214.949997,210.055176,2477600
2020-10-30,213.600006,215.220001,209.910004,213.000000,208.149597,3450900
2020-11-02,215.880005,216.320007,210.789993,212.559998,207.719620,2983200
2020-11-03,215.589996,218.100006,213.949997,216.800003,211.863068,2615000
2020-11-04,215.000000,219.470001,213.300003,214.869995,209.977005,3360800
2020-11-05,216.070007,218.199997,214.679993,216.309998,211.384216,3622000
2020-11-06,216.000000,217.889999,214.250000,216.559998,211.628510,3916100
2020-11-09,226.789993,227.850006,207.169998,213.220001,208.364594,7981200
2020-11-10,215.750000,215.990005,211.339996,213.320007,208.462311,4255600
2020-11-11,214.809998,219.250000,214.300003,218.020004,213.055283,4126900
2020-11-12,217.559998,217.820007,210.880005,213.070007,208.218002,4253200
2020-11-13,213.759995,214.389999,212.339996,213.279999,208.423218,3072100
2020-11-16,215.500000,216.750000,213.630005,216.729996,211.794647,3702100
2020-11-17,215.600006,217.389999,214.020004,216.009995,211.091049,2443100
2020-11-18,216.100006,217.839996,215.410004,215.520004,210.612213,3095200
2020-11-19,214.839996,215.479996,213.330002,215.110001,210.211548,2840500
2020-11-20,214.389999,215.220001,213.630005,214.089996,209.214767,3932600
2020-11-23,215.139999,217.600006,214.649994,217.000000,212.058517,3010300
2020-11-24,219.009995,221.250000,218.250000,219.710007,214.706802,3870900
2020-11-25,219.979996,220.589996,217.919998,219.339996,214.345230,1889200
2020-11-27,219.020004,220.399994,217.660004,218.330002,213.358215,1394400
2020-11-30,216.460007,217.570007,214.429993,217.440002,213.751450,3413600
2020-12-01,218.880005,218.929993,215.529999,216.139999,212.473495,4224800
2020-12-02,214.000000,214.399994,209.130005,210.860001,207.283051,6223700
2020-12-03,210.940002,213.229996,210.559998,211.509995,207.922028,3732500
2020-12-04,211.600006,213.380005,210.100006,210.740005,207.165100,3151100
2020-12-07,208.529999,209.110001,206.190002,208.889999,205.346481,3826000
2020-12-08,206.550003,209.100006,206.410004,208.389999,204.854965,2709400
2020-12-09,209.490005,209.529999,207.330002,208.690002,205.149857,3010900
